location,total_cases,first_case,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,diabetes_prevalence,female_smokers,male_smokers,total_deaths
Trinidad and Tobago,-0.017610892,0.06485482,-0.029004365,0.016006815,0.157583912,0.031710329,-0.000626056,0.069286562,0.145115716,-0.063476057,-0.107999285,-0.020068871
Tunisia,-0.016952249,-0.016445993,-0.021765436,0.016006815,0.05184373,-0.045996677,-0.042035306,-0.08483246,0.028615479,-0.198463791,0.541355472,-0.019629086
Turkey,0.085210701,0.056724739,0.028619823,0.016006815,0.018611102,-0.040129084,-0.042814513,0.038024198,0.200275013,0.097663771,0.180244361,0.026809843
Taiwan,-0.017377922,-0.357909408,-0.013429439,0.016006815,0.338852794,-0.058187857,0.140410288,-0.03351965,-0.023558156,-0.063476057,-0.107999285,-0.020080757
Tanzania,-0.017328308,0.097375145,0.011525032,0.016006815,-0.401328475,-0.234879133,-0.220195266,-0.155087608,-0.103101117,-0.148349896,-0.030281955,-0.019914352
Ukraine,-0.005884033,-0.008315912,0.000408347,0.016006815,0.314683609,0.280619806,0.295138401,-0.110254624,-0.038431597,0.083996345,0.272349624,-0.014945969
Uruguay,-0.01717731,0.081114983,-0.027563242,0.016006815,0.139457023,0.210864932,0.252170738,-0.001361494,-0.046990798,0.095385867,-0.12969716,-0.019938124
United States,0.982310732,-0.357909408,0.199995049,0.016006815,0.22102802,0.240125693,0.217162111,0.288349073,0.136556515,0.211558988,-0.060983709,0.979847926
Uzbekistan,-0.015816163,0.089245064,-0.006723194,0.016006815,-0.084107931,-0.182341012,-0.16459333,-0.124375259,-0.016558083,-0.193907983,-0.059521721,-0.020033213
Venezuela,-0.017377922,0.081114983,-0.010220165,0.016006815,-0.059938747,-0.099538465,-0.106598116,-0.034109292,-0.068864312,-0.063476057,-0.107999285,-0.020045099
British Virgin Islands,-0.017689268,0.178675958,-0.029955686,0.016006815,-0.118357292,-0.058187857,-0.0524208,-0.03351965,0.273503734,-0.063476057,-0.107999285,-0.020152074
United States Virgin Islands,-0.017644687,0.154285714,-0.029904143,0.016006815,0.338852794,0.363190738,0.276548764,-0.03351965,0.206456658,-0.063476057,-0.107999285,-0.020092644
Yemen,-0.017643968,0.292497096,-0.009254413,0.016006815,-0.322778626,-0.242059214,-0.236391626,-0.165447429,-0.122121564,-0.05040001,0.006267753,-0.020021327
South Africa,-0.009012586,0.007944251,0.01122939,0.016006815,-0.111298264,-0.148563749,-0.154574963,-0.072395593,-0.114037874,-0.039010488,0.064747285,-0.017560908
Zambia,-0.017373608,0.113635308,-0.017204015,0.016006815,-0.401328475,-0.259121557,-0.238673588,-0.146433063,-0.189168639,-0.152905705,-0.059521721,-0.020080757
Zimbabwe,-0.017667696,0.12989547,-0.019650331,0.016006815,-0.343926662,-0.245919472,-0.219750006,-0.161828606,-0.289977008,-0.18707427,0.028197577,-0.020116416
