location,total_cases,first_case,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,diabetes_prevalence,female_smokers,male_smokers,total_deaths
Palestine,-0.01377577,-0.00832646,-0.022600673,0.013622037,-0.293970839,-0.215612829,-0.206569414,-0.124809527,0.113597726,-0.052872324,-0.104107394,-0.017507543
French Polynesia,-0.014126661,0.097364597,-0.025949826,0.013622037,0.077630369,-0.03294539,-0.04699909,-0.019430832,0.651818557,-0.052872324,-0.104107394,-0.002413825
Qatar,0.004912802,-0.048976867,-0.024143313,0.013622037,0.053461185,-0.282626919,-0.268293686,0.842606695,0.378684896,-0.19326606,-0.025529495,-0.017388682
Kosovo,-0.013509006,0.072974353,-0.0003735,0.013622037,-0.094575069,-0.038432365,-0.032611468,-0.019430832,-0.027306565,-0.052872324,-0.104107394,-0.017210391
Romania,-0.002663724,-0.07336711,-0.012779204,0.013622037,0.388808617,0.355975668,0.348002858,0.037421433,0.075600408,0.310150797,0.119356868,-0.005478826
Russia,0.160032763,-0.284749224,0.075246056,0.013622037,0.286089584,0.214226971,0.220157363,0.049915632,-0.0835413,0.321540318,0.420493232,0.00873693
Rwanda,-0.013963439,0.064844272,-0.017146169,0.013622037,-0.296991987,-0.218276407,-0.211244652,-0.147133339,-0.168476481,-0.104427791,-0.109336314,-0.002413825
Saudi Arabia,0.018064764,-0.032716704,-0.001957321,0.013622037,0.053461185,-0.205884977,-0.19994616,0.25872742,0.432328168,-0.170487017,-0.046836314,-0.014310187
Sudan,-0.012862589,0.05671419,0.004320215,0.013622037,-0.315118876,-0.196118523,-0.189426875,-0.124666684,0.340687578,-0.052872324,-0.104107394,-0.01648534
Senegal,-0.012656224,-0.032716704,-0.014511791,0.013622037,-0.345330356,-0.216963919,-0.202673382,-0.141832351,-0.251623553,-0.202377677,-0.171836314,-0.017293594
Singapore,0.004054987,-0.349789875,-0.022080341,0.013622037,0.370681729,0.165742122,0.089695962,0.57255389,0.131478816,-0.09303827,-0.005643132,-0.01730548
Sierra Leone,-0.013891535,0.203055654,-0.020602811,0.013622037,-0.333245764,-0.235107135,-0.231114413,-0.151123135,-0.251623553,-0.011033714,0.179015959,-0.01730548
El Salvador,-0.013370231,0.097364597,-0.021638565,0.013622037,-0.076448181,-0.013721302,-0.001137233,-0.100362521,0.036709036,-0.154541686,-0.140586314,-0.017317366
San Marino,-0.013707461,-0.065237029,-0.026121411,0.013622037,-0.094575069,-0.038432365,-0.032611468,0.32594825,-0.107680772,-0.052872324,-0.104107394,-0.017067758
Somalia,-0.013293294,0.081104434,-0.015102841,0.013622037,-0.402732169,-0.227656836,-0.219370661,-0.019430832,-0.089352654,-0.052872324,-0.104107394,-0.016937011
Serbia,-0.006767286,-0.000196379,-0.021417353,0.013622037,0.334427952,0.337292016,-0.032611468,-0.042254929,0.090799335,0.647280637,0.163390959,-0.014916377
South Sudan,-0.014023839,0.24370606,-0.01836791,0.013622037,-0.330224616,-0.200248999,-0.18953819,-0.149578616,0.106445289,-0.052872324,-0.104107394,-0.002413825
Sao Tome and Principe,-0.014000829,0.268096304,-0.025992723,0.013622037,-0.345330356,-0.221673435,-0.182302703,-0.136825796,-0.251623553,-0.052872324,-0.104107394,-0.017471885
Suriname,-0.014162613,0.064844272,-0.025737413,0.013622037,-0.01602522,-0.065448768,-0.067258455,-0.04467818,0.200768043,-0.042924374,0.201743232,-0.017543201
Slovakia,-0.013113534,-0.000196379,-0.022351788,0.013622037,0.334427952,0.248660478,0.207578747,0.096264612,-0.033921273,0.314706605,0.127879595,-0.017234163
Slovenia,-0.013117848,-0.016456541,-0.024700608,0.013622037,0.434125837,0.402762002,0.417018275,0.106977963,-0.035709382,0.246369475,-0.052518132,-0.016330821
Sweden,0.005897887,-0.284749224,-0.019128309,0.013622037,0.328385656,0.43839219,0.445014045,0.240699989,-0.14567809,0.216756719,-0.139165859,0.023570762
Swaziland,-0.014035343,0.064844272,-0.025338941,0.013622037,-0.260738211,-0.210980518,-0.19994616,-0.096522319,-0.183675408,-0.172764921,-0.173256768,-0.017531315
Sint Maarten (Dutch part),-0.014114438,-0.032716704,-0.026115197,0.013622037,-0.094575069,-0.038432365,-0.032611468,0.14934665,-0.027306565,-0.052872324,-0.104107394,-0.017376796
Seychelles,-0.014161894,0.064844272,-0.026076666,0.013622037,0.18337055,-0.000866641,0.008268901,0.063816659,0.111809617,-0.049758087,0.099470505,-0.002413825
Syria,-0.01413529,0.129884922,-0.013986039,0.013622037,-0.254695915,-0.038432365,-0.159204801,-0.019430832,-0.027306565,-0.052872324,-0.104107394,-0.017519429
Turks and Caicos Islands,-0.014161175,0.146145085,-0.02611809,0.013622037,-0.094575069,-0.038432365,-0.032611468,-0.019430832,-0.027306565,-0.052872324,-0.104107394,-0.017543201
Chad,-0.013902321,0.105494678,-0.014732778,0.013622037,-0.405753317,-0.237114469,-0.22215354,-0.147873468,-0.087117518,-0.052872324,-0.104107394,-0.017055872
Togo,-0.014012334,-0.000196379,-0.020393163,0.013622037,-0.32418232,-0.223487756,-0.21775659,-0.15078331,-0.084882382,-0.190988156,-0.205927223,-0.017424341
Thailand,-0.01200046,-0.439220769,0.022350018,0.013622037,0.301195324,0.105946716,0.080846404,-0.023086559,-0.045096955,-0.168209112,0.143504595,-0.016889467
Tajikistan,-0.013593853,0.446958093,-0.019518512,0.013622037,-0.206357546,-0.199283935,-0.182692306,-0.138165739,-0.041967764,-0.052872324,-0.104107394,-0.017281708
Timor,-0.014152547,0.121754841,-0.025228974,0.013622037,-0.366478392,-0.195809702,-0.197051965,-0.106575034,-0.053143445,-0.067981322,0.701743232,-0.002413825
Trinidad and Tobago,-0.014086395,0.048584109,-0.025172664,0.013622037,0.18337055,0.053485801,0.02123712,0.084292231,0.130584762,-0.052872324,-0.104107394,-0.017459999
Tunisia,-0.013427754,-0.032716704,-0.017933756,0.013622037,0.077630369,-0.024221205,-0.02017213,-0.069772466,0.021063081,-0.186432347,0.527027323,-0.017020214
Turkey,0.088734902,0.040454028,0.032451357,0.013622037,0.044397741,-0.018353612,-0.020951336,0.053040887,0.182439925,0.109695216,0.17617505,0.029418716
Taiwan,-0.013853426,-0.374180119,-0.009597783,0.013622037,0.364639433,-0.038432365,0.162273465,-0.019430832,-0.027306565,-0.052872324,-0.104107394,-0.017471885
Tanzania,-0.013803812,0.081104434,0.015356615,0.013622037,-0.375541836,-0.213103661,-0.19833209,-0.140002851,-0.102763472,-0.136318452,-0.028370405,-0.01730548
Uganda,-0.014069857,0.121754841,0.005634535,0.013622037,-0.414816761,-0.249390092,-0.229834288,-0.148479328,-0.248047335,-0.134040547,-0.170415859,-0.002413825
Ukraine,-0.00235957,-0.024586623,0.004239962,0.013622037,0.340470248,0.302395278,0.317001577,-0.09518567,-0.041967764,0.09602779,0.265663686,-0.012337097
